Target,Output
47.10000,47.02365
47.10000,47.22980
47.10000,47.28586
47.10000,46.97186
47.10000,47.41466
47.10000,46.79179
48.90000,48.46376
48.90000,48.58455
48.90000,48.48007
48.90000,48.49460
48.90000,48.38480
48.90000,48.76915
48.90000,48.63108
48.90000,48.33274
48.90000,48.58498
48.90000,48.64619
48.90000,48.68919
48.90000,48.37922
48.90000,48.63861
48.90000,48.91177
48.90000,48.33358
48.90000,48.02256
48.90000,48.69656
48.90000,48.13419
48.90000,48.03741
68.30000,67.38010
68.30000,66.78806
68.30000,67.68370
68.30000,65.85500
68.30000,65.88085
68.30000,66.17363
68.30000,65.60572
68.30000,66.25977
68.30000,66.76097
68.30000,67.10803
68.30000,67.17481
68.30000,67.25618
68.30000,67.22380
68.30000,66.94078
68.30000,67.30721
68.30000,66.29311
68.30000,67.38399
68.30000,66.79830
68.30000,66.79661
68.30000,66.54906
44.10000,44.65492
44.10000,44.64174
44.10000,44.54003
44.10000,44.51794
44.10000,44.32431
44.10000,44.09383
44.10000,44.28889
44.10000,44.19421
44.10000,43.79491
44.10000,44.32791
44.10000,44.40811
44.10000,44.02200
44.10000,44.44511
44.10000,44.34377
44.10000,44.14578
44.10000,44.17281
44.10000,44.24880
44.10000,43.88504
44.10000,43.51985
44.10000,44.12650
44.10000,43.86836
44.10000,44.55964
44.10000,44.19525
44.10000,44.27712
44.10000,43.62185
34.80000,35.26222
34.80000,35.00684
34.80000,35.07156
34.80000,34.21478
34.80000,34.94622
34.80000,35.10211
34.80000,35.11232
34.80000,34.70339
34.80000,34.80923
34.80000,34.74727
34.80000,34.70949
34.80000,34.90906
34.80000,34.42076
34.80000,34.79776
34.80000,35.09554
34.80000,34.61714
34.80000,35.08987
34.80000,34.56953
34.80000,34.85186
34.80000,35.24325
34.80000,34.93906
34.80000,35.09175
34.80000,35.27409
34.80000,34.92472
34.80000,34.87900
34.80000,34.87093
34.80000,35.09392
34.80000,34.85326
34.80000,35.07298
34.80000,35.18101
34.80000,35.18956
34.80000,35.08315
34.80000,34.57266
34.80000,35.27257
34.80000,34.84114
34.80000,34.93347
34.80000,34.95567
34.80000,35.11666
34.80000,34.91853
34.80000,34.97594
34.80000,34.90354
34.80000,34.78188
62.30000,60.47672
62.30000,63.16970
62.30000,61.72075
62.30000,62.72317
62.30000,63.43362
57.30000,59.90169
57.30000,59.71396
57.30000,59.79264
57.30000,60.00366
57.30000,60.13080
57.30000,59.94341
57.30000,60.18860
71.20000,69.49700
71.20000,70.04176
71.20000,71.28737
71.20000,70.95790
71.20000,70.54594
71.20000,69.11201
71.20000,66.75269
71.20000,66.94132
71.20000,66.77132
71.20000,67.70570
71.20000,70.06670
71.20000,68.61772
71.20000,70.04313
71.20000,70.47643
72.30000,71.96498
72.30000,71.69792
72.30000,72.25531
72.30000,71.99919
72.30000,72.16236
72.30000,71.77749
72.30000,71.93370
72.30000,71.91688
72.30000,71.89078
72.30000,71.87717
72.30000,72.19866
72.30000,72.14053
72.30000,72.04351
72.30000,72.04102
72.30000,71.92816
72.30000,71.97769
72.30000,71.94505
72.30000,72.08147
72.30000,72.24787
72.30000,71.96395
72.30000,72.00604
72.30000,72.01036
72.30000,72.22898
72.30000,71.96006
72.30000,71.92366
72.30000,72.04071
61.00000,62.08342
61.00000,61.97578
61.00000,61.89172
61.00000,61.89678
61.00000,62.01845
61.00000,61.96988
61.00000,62.01070
61.00000,61.91181
61.00000,62.21820
61.00000,61.86980
61.00000,62.19399
61.00000,61.59554
61.00000,62.01095
61.00000,61.95759
61.00000,61.85854
61.00000,62.11713
46.00000,45.83287
46.00000,45.68113
46.00000,45.81976
46.00000,45.74122
46.00000,45.92055
46.00000,45.91870
46.00000,45.98164
46.00000,45.99872
46.00000,46.11529
46.00000,45.95234
46.00000,46.04742
46.00000,46.07898
46.00000,45.94046
46.00000,45.96079
46.00000,46.03813
46.00000,45.96085
46.00000,45.92850
46.00000,46.04476
46.00000,46.09595
46.00000,46.10916
46.00000,46.30166
46.00000,46.24972
46.00000,46.35901
46.00000,45.98604
46.00000,46.12384
46.00000,46.21663
46.00000,46.21105
46.00000,46.31483
46.00000,46.33351
46.00000,46.57178
46.00000,46.58287
46.00000,46.68355
46.00000,46.78097
46.00000,46.78592
46.00000,46.72455
46.00000,46.41930
46.00000,46.21100
46.00000,46.02904
46.00000,46.27645
46.00000,46.40841
46.00000,46.44328
46.00000,46.61013
75.40000,74.85836
75.40000,73.56398
75.40000,73.79992
75.40000,74.28063
75.40000,74.31961
75.40000,74.69416
75.40000,75.12433
75.40000,75.41461
75.40000,75.68918
75.40000,75.83513
75.40000,75.59543
75.40000,75.42804
75.40000,75.56808
75.40000,75.65348
75.40000,75.32220
75.40000,75.25537
75.40000,75.65221
75.40000,75.56777
75.40000,75.50292
75.40000,75.79347
75.40000,76.02308
75.40000,76.24881
75.40000,76.36845
75.40000,76.44477
75.40000,76.58857
75.40000,76.65140
75.40000,77.98667
92.60000,92.77043
92.60000,92.93273
92.60000,92.55049
92.60000,92.87368
92.60000,92.86813
92.60000,93.16897
44.10000,41.20207
44.10000,41.41154
44.10000,41.69585
44.10000,41.29167
44.10000,41.58619
44.10000,41.27924
45.40000,45.36436
45.40000,45.43014
45.40000,45.28785
45.40000,45.43990
