Target,Output
47.10000,47.65868
47.10000,47.27726
47.10000,47.86558
47.10000,46.84950
47.10000,47.48132
47.10000,47.15150
48.90000,50.98315
48.90000,51.26019
48.90000,51.64071
48.90000,50.96513
48.90000,51.16728
48.90000,50.79914
48.90000,50.89410
48.90000,51.33215
48.90000,50.98913
48.90000,52.06020
48.90000,50.83055
48.90000,51.24084
48.90000,52.04463
48.90000,50.97125
48.90000,53.02946
48.90000,51.46609
48.90000,50.27533
48.90000,51.12431
48.90000,51.51346
68.30000,68.11986
68.30000,69.34574
68.30000,68.01982
68.30000,69.57657
68.30000,69.58240
68.30000,69.49210
68.30000,70.18956
68.30000,70.42332
68.30000,69.91989
68.30000,69.52329
68.30000,69.40755
68.30000,69.19021
68.30000,69.05183
68.30000,70.05871
68.30000,69.32037
68.30000,69.97678
68.30000,68.99694
68.30000,69.82151
68.30000,69.39553
68.30000,69.05061
44.10000,41.35157
44.10000,41.35246
44.10000,41.60246
44.10000,41.52195
44.10000,42.11447
44.10000,42.62330
44.10000,42.66305
44.10000,42.32153
44.10000,43.56577
44.10000,42.12733
44.10000,41.74825
44.10000,43.03263
44.10000,41.91212
44.10000,42.22424
44.10000,42.82505
44.10000,42.93055
44.10000,42.51025
44.10000,43.21235
44.10000,44.62684
44.10000,42.73489
44.10000,43.83439
44.10000,41.69952
44.10000,43.02090
44.10000,42.65629
44.10000,44.29660
34.80000,34.80303
34.80000,38.04605
34.80000,35.72148
34.80000,37.53655
34.80000,35.41418
34.80000,34.87330
34.80000,34.60238
34.80000,35.15265
34.80000,35.16488
34.80000,35.03271
34.80000,35.29671
34.80000,34.87332
34.80000,35.89526
34.80000,34.80783
34.80000,34.21726
34.80000,35.53595
34.80000,34.58998
34.80000,35.76825
34.80000,35.23175
34.80000,33.99712
34.80000,34.58859
34.80000,34.35506
34.80000,34.09055
34.80000,34.84013
34.80000,34.79978
34.80000,34.86423
34.80000,34.25716
34.80000,34.80569
34.80000,35.32031
34.80000,34.82057
34.80000,34.13923
34.80000,34.45879
34.80000,35.53218
34.80000,34.07323
34.80000,34.94311
34.80000,35.00927
34.80000,34.51817
34.80000,34.34299
34.80000,35.65510
34.80000,34.67159
34.80000,35.05033
34.80000,40.09942
62.30000,58.79624
62.30000,62.94616
62.30000,61.13127
62.30000,60.49588
62.30000,63.44819
57.30000,65.89106
57.30000,67.45424
57.30000,66.61082
57.30000,62.93867
57.30000,61.23161
57.30000,63.84311
